ilkid,position,year,firstname,lastname,team,Season #,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
DIETRCO01,1,1980,Coby,Dietrick,CHI,10,N,82,1243,371,79,186,265,118,48,53,88,176,320,146,111,77,6,2
DIETRCO01,1,1981,Coby,Dietrick,CHI,11,N,74,999,222,63,125,188,87,49,30,44,131,200,92,54,38,1,0
DIVACVL01,1,1998,Vlade,Divac,SAC,9,N,50,1761,714,140,361,501,215,44,51,131,166,557,262,255,179,43,11
DIVACVL01,1,1999,Vlade,Divac,SAC,10,N,82,2374,1005,174,482,656,244,103,103,190,251,764,384,333,230,26,7
DIVACVL01,1,2000,Vlade,Divac,SAC,11,N,81,2420,974,207,466,673,231,87,93,192,242,755,364,350,242,14,4
DONALJA01,1,1989,James,Donaldson,DAL,9,N,73,2265,665,155,475,630,57,22,47,119,129,479,258,213,149,0,0
DONALJA01,1,1990,James,Donaldson,DAL,10,N,82,2800,819,201,526,727,69,34,93,146,181,615,327,229,165,0,0
DONALJA01,1,1991,James,Donaldson,TOT,11,N,58,1075,285,99,190,289,33,8,49,48,103,245,112,86,61,0,0
DOUGLSH01,2,1998,Sherman,Douglas,LAC,9,N,30,842,247,16,42,58,124,27,3,61,54,219,96,87,55,11,0
DOUGLSH01,2,1999,Sherman,Douglas,NJN,10,N,20,309,120,13,16,29,34,17,0,24,26,90,45,28,25,16,5
DOUGLSH01,2,2000,Sherman,Douglas,NJN,11,N,59,1094,338,21,53,74,144,36,4,79,93,303,122,115,86,40,8
DREXLCL01,2,1992,Clyde,Drexler,POR,9,N,49,1671,976,126,183,309,278,95,37,115,159,816,350,292,245,133,31
DREXLCL01,2,1993,Clyde,Drexler,POR,10,N,68,2334,1303,154,291,445,333,98,34,167,202,1105,473,368,286,219,71
DREXLCL01,2,1994,Clyde,Drexler,TOT,11,N,76,2728,1653,152,328,480,362,136,45,186,206,1238,571,442,364,408,147
DUDLECH02,1,1996,Chris,Dudley,POR,9,N,81,1840,317,204,389,593,43,39,96,80,245,293,126,137,65,0,0
DUDLECH02,1,1997,Chris,Dudley,NYK,10,N,51,858,157,108,167,275,21,13,51,44,139,143,58,92,41,0,0
DUDLECH02,1,1998,Chris,Dudley,NYK,11,N,46,685,115,79,114,193,7,13,38,24,116,109,48,40,19,0,0
DUMARJO01,2,1994,Joe,Dumars,DET,9,N,67,2544,1214,47,111,158,368,72,7,219,153,970,417,344,277,338,103
DUMARJO01,2,1995,Joe,Dumars,DET,10,N,67,2193,793,28,110,138,265,43,3,97,106,598,255,197,162,298,121
DUMARJO01,2,1996,Joe,Dumars,DET,11,N,79,2923,1158,38,153,191,318,57,1,128,97,875,385,256,222,384,166
DUNCATI01,0,2006,Tim,Duncan,SAS,9,N,80,2728,1599,213,632,845,273,66,190,223,203,1131,618,568,362,9,1
DUNCATI01,0,2007,Tim,Duncan,SAS,10,N,78,2653,1508,237,644,881,218,56,151,178,185,1178,585,463,338,4,0
DUNCATI01,0,2008,Tim,Duncan,SAS,11,N,75,2525,1450,201,599,800,264,38,126,165,173,1107,558,483,334,2,0
DUNNTR01,2,1986,T.r.,Dunn,DEN,9,N,81,1932,272,91,174,265,147,100,21,33,160,276,118,55,36,2,0
DUNNTR01,2,1987,T.r.,Dunn,DEN,10,N,82,1534,180,110,130,240,87,101,11,26,152,156,70,52,40,1,0
DUNNTR01,2,1988,T.r.,Dunn,PHO,11,N,34,321,33,30,30,60,25,12,1,6,35,35,12,12,9,0,0
EDWARJA01,1,1986,James,Edwards,PHO,9,N,14,304,168,20,40,60,19,6,7,15,42,110,57,70,54,0,0
EDWARJA01,1,1987,James,Edwards,TOT,10,N,69,1705,814,119,293,412,78,16,37,130,216,643,302,321,210,1,0
EDWARJA01,1,1988,James,Edwards,DET,11,N,76,1254,555,68,163,231,49,11,31,72,226,422,211,194,133,2,0
EHLOCR01,2,1992,Craig,Ehlo,CLE,9,N,82,2559,949,113,290,403,254,104,22,124,170,785,385,120,86,244,93
EHLOCR01,2,1993,Craig,Ehlo,ATL,10,N,82,2147,821,71,208,279,273,136,26,130,161,708,316,154,112,221,77
EHLOCR01,2,1994,Craig,Ehlo,ATL,11,N,49,1166,477,55,92,147,113,46,6,73,86,422,191,71,44,134,51
EISLEHO01,2,2003,Howard,Eisley,TOT,9,N,67,1455,460,20,109,129,273,56,5,98,137,451,166,89,76,163,52
EISLEHO01,2,2004,Howard,Eisley,UTA,10,N,74,1428,415,15,75,90,250,45,9,111,156,405,161,83,66,103,27
EISLEHO01,2,2005,Howard,Eisley,TOT,11,N,32,394,101,3,30,33,69,11,2,21,34,103,34,24,20,42,13
ELLIOSE01,0,1998,Sean,Elliott,SAS,9,N,50,1509,561,35,178,213,117,26,17,71,104,507,208,140,106,119,39
ELLIOSE01,0,1999,Sean,Elliott,SAS,10,N,19,391,114,6,41,47,28,12,2,19,34,106,38,32,25,37,13
ELLIOSE01,0,2000,Sean,Elliott,SAS,11,N,52,1229,409,17,153,170,81,23,25,51,80,339,147,84,60,129,55
ELLISDA01,2,1992,Dale,Ellis,SAS,9,N,82,2731,1366,81,231,312,107,78,18,111,179,1092,545,197,157,297,119
ELLISDA01,2,1993,Dale,Ellis,SAS,10,N,77,2590,1170,70,185,255,80,66,11,75,141,967,478,107,83,332,131
ELLISDA01,2,1994,Dale,Ellis,DEN,11,N,81,1996,918,56,166,222,57,37,9,81,142,774,351,127,110,264,106
ENGLIAL01,0,1985,Alex,English,DEN,9,N,81,3024,2414,192,213,405,320,73,29,249,235,1888,951,593,511,5,1
ENGLIAL01,0,1986,Alex,English,DEN,10,N,82,3085,2345,146,198,344,422,73,21,214,216,1920,965,487,411,15,4
ENGLIAL01,0,1987,Alex,English,DEN,11,N,80,2818,2000,166,207,373,377,70,23,181,193,1704,843,379,314,6,0
ERICKKE01,0,1974,Keith,Erickson,PHO,9,N,49,1469,604,70,173,243,170,50,12,0,150,557,237,156,130,0,0
ERICKKE01,0,1975,Keith,Erickson,PHO,10,N,74,1850,744,106,226,332,185,79,6,0,196,649,305,157,134,0,0
ERICKKE01,0,1976,Keith,Erickson,PHO,11,N,50,949,321,36,108,144,104,30,7,0,122,294,142,50,37,0,0
ERVINJU01,0,1980,Julius,Erving,PHI,9,N,82,2874,2014,244,413,657,364,173,147,266,233,1524,794,536,422,18,4
ERVINJU01,0,1981,Julius,Erving,PHI,10,N,81,2789,1974,220,337,557,319,161,141,214,229,1428,780,539,411,11,3
ERVINJU01,0,1982,Julius,Erving,PHI,11,N,72,2421,1542,173,318,491,263,112,131,196,202,1170,605,435,330,7,2
EWINGPA01,1,1994,Patrick,Ewing,NYK,9,N,79,2920,1886,157,710,867,212,68,159,256,272,1452,730,560,420,21,6
EWINGPA01,1,1995,Patrick,Ewing,NYK,10,N,76,2783,1711,157,649,806,160,68,184,221,247,1456,678,461,351,28,4
EWINGPA01,1,1996,Patrick,Ewing,NYK,11,N,78,2887,1751,175,659,834,156,69,189,268,250,1342,655,582,439,9,2
FERRYDA01,0,1999,Danny,Ferry,CLE,9,N,63,1326,463,55,183,238,67,22,24,55,181,380,189,57,52,75,33
FERRYDA01,0,2000,Danny,Ferry,SAS,10,N,80,1688,448,55,168,223,71,28,21,50,169,375,178,30,22,156,70
FERRYDA01,0,2001,Danny,Ferry,SAS,11,N,50,800,229,15,75,90,48,16,9,22,70,177,76,36,34,99,43
FINLEMI01,0,2004,Michael,Finley,DAL,9,N,64,2358,1003,45,217,262,169,48,18,60,123,907,387,136,113,285,116
FINLEMI01,0,2005,Michael,Finley,SAS,10,N,77,2037,780,31,216,247,116,37,7,62,97,695,286,115,98,279,110
FINLEMI01,0,2006,Michael,Finley,SAS,11,N,82,1820,740,34,189,223,108,32,16,46,76,663,273,98,90,286,104
FISHEDE01,2,2005,Derek,Fisher,GSW,9,N,82,2589,1089,36,175,211,352,125,8,156,237,887,364,293,244,295,117
FISHEDE01,2,2006,Derek,Fisher,UTA,10,N,82,2286,826,30,119,149,274,83,6,120,234,675,258,307,262,156,48
FISHEDE01,2,2007,Derek,Fisher,LAL,11,N,82,2249,956,24,146,170,239,86,3,90,188,777,339,188,166,276,112
FLEMIVE01,2,1993,Vern,Fleming,IND,9,N,55,1053,358,27,96,123,173,40,6,87,98,318,147,87,64,4,0
FLEMIVE01,2,1994,Vern,Fleming,IND,10,N,55,686,251,20,71,91,109,27,1,43,80,188,93,90,65,7,0
FLEMIVE01,2,1995,Vern,Fleming,NJN,11,N,77,1747,590,49,121,170,255,41,5,122,115,524,227,177,133,28,3
FLOYDSL01,2,1991,Sleepy,Floyd,HOU,9,N,82,1662,744,34,116,150,239,57,21,128,128,704,286,170,135,123,37
FLOYDSL01,2,1992,Sleepy,Floyd,HOU,10,N,52,867,345,14,72,86,132,32,6,68,59,305,124,102,81,56,16
FLOYDSL01,2,1993,Sleepy,Floyd,SAS,11,N,53,737,200,10,60,70,101,12,8,61,71,209,70,78,52,36,8
FOSTEGR01,1,1999,Greg,Foster,SEA,9,N,60,718,203,16,91,107,41,10,18,28,105,224,91,28,18,15,3
FOSTEGR01,1,2000,Greg,Foster,LAL,10,N,62,451,125,29,83,112,32,9,12,25,76,133,56,14,10,9,3
FOSTEGR01,1,2001,Greg,Foster,MIL,11,N,6,24,7,0,8,8,1,0,0,0,4,9,2,4,3,4,0
FOXRI01,0,2000,Rick,Fox,LAL,9,N,82,2291,787,80,245,325,262,70,29,136,225,646,287,122,95,300,118
FOXRI01,0,2001,Rick,Fox,LAL,10,N,82,2288,645,90,299,389,283,67,21,132,244,605,255,85,70,208,65
FOXRI01,0,2002,Rick,Fox,LAL,11,N,76,2181,681,64,259,323,253,69,14,121,215,621,262,69,52,280,105
